"r.day" "month" "day" "pow.obs" "ws30" "wd30"
193 7 12 0.619391780821918 12.7554794520547 5.02619710315289
194 7 13 0.0746 8.23082191780822 6.24067083410271
195 7 14 0.000252054794520548 3.42534246575342 0.700301707337419
196 7 15 0.0181013698630137 5.78767123287644 0.624789062737916
197 7 16 0.15967397260274 8.28904109588922 1.86385464923881
198 7 17 0.253413698630136 10.5732876712333 2.06376242320261
199 7 18 0.0688 7.22602739726045 3.97904096238886
200 7 19 0.0857780821917808 6.28082191780915 4.49124158301506
201 7 20 0.0593506849315068 7.31986301369902 2.6082708213319
202 7 21 0.161402739726027 6.05890410958889 2.95340546979562
203 7 22 0.0972082191780822 4.14863013698738 5.13835453920153
204 7 23 0.0332849315068494 4.77602739725994 4.19206764630485
205 7 24 0.022495890410959 4.15342465753392 3.53828280586063
206 7 25 0.0556767123287672 5.74657534246593 4.06171572625941
207 7 26 0.334391780821918 8.31301369863115 3.01131674166534
208 7 27 0.324375342465754 5.50342465753475 3.02256583441749
209 7 28 0.0159671232876712 8.6993150684901 4.52601226182333
210 7 29 2.46575342465754e-05 2.65068493150685 1.24956465778626
211 7 30 0.0467068493150684 4.26095890410866 1.80923185827522
212 7 31 0.133630136986301 5.44178082191727 1.97299543676495
213 8 1 0.0499479452054794 6.98493150684884 3.18653013330714
214 8 2 0.195282191780822 9.93561643835799 4.37724187849726
215 8 3 0.00021917808219178 3.60273972602722 5.42525330350342
216 8 4 0.00955342465753424 4.81712328767099 5.38111775100049
217 8 5 0.0618191780821918 4.27465753424684 5.5976554720775
218 8 6 0.0016 3.40068493150691 0.308043239575636
219 8 7 0.0161890410958904 2.7047945205489 3.26179157683022
220 8 8 0.0310246575342466 4.28219178082087 5.36711772025924
221 8 9 0.0346767123287672 6.14109589041153 0.880133103005318
222 8 10 0.000621917808219178 4.05616438356149 2.98498732184816
223 8 11 0.0301945205479452 4.84041095890423 3.30402500918062
224 8 12 0.0453753424657534 9.38972602739711 4.69459161758502
225 8 13 0.165227397260274 10.8945205479437 4.62602440702741
226 8 14 0.580950684931506 18.9328767123261 4.85408759037364
227 8 15 0.821545205479452 19.4952054794534 5.36874379963991
228 8 16 0.541676712328768 9.75136986301397 5.52423451606566
229 8 17 0.0402191780821918 1.90479452054803 4.18034765703246
