"time";"SPY"
"2009-7-17";0.0701455206912233
"2009-7-24";0.0417507702114098
"2009-7-31";0.00764837854374872
"2009-8-7";0.0241878352393483
"2009-8-17";-0.0285573122529644
"2009-8-24";0.0472993591699724
"2009-8-31";-0.00485625485625486
"2009-9-8";0.00468475502635179
"2009-9-15";0.0270060229259763
"2009-9-22";0.0127695800227014
"2009-9-29";-0.00999346222097687
"2009-10-6";-0.00462264150943391
"2009-10-13";0.0184816605061131
"2009-10-20";0.016285129350456
"2009-10-27";-0.0255471110704147
"2009-11-3";-0.0166322119902274
"2009-11-10";0.0472049689440994
"2009-11-17";0.0159686102746601
"2009-11-24";-0.00314352433985997
"2009-12-2";0.00234255338318772
"2009-12-9";-0.0110561797752809
"2009-12-16";0.0136338847482276
"2009-12-23";0.00385581061692976
